,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0000,-1.0019467,-0.0026119342,0.9966792,-2.0025487,-0.0033054845,1.9959671,-1.0032465,-0.0039648167,0.9954017,-1.0031654,-2.003383,-1.0036675,-0.0041900356,-0.004463744,-0.0047188005,0.99479896,1.9945236,0.9943447,-0.2561143,-0.06571406
0010,-0.9900307,0.011652482,1.0131934,-1.9920928,0.009438962,2.0109406,-0.99424213,0.007192741,1.0087157,-1.0107206,-2.0095341,-1.008512,-0.01365495,-0.012546415,-0.011394616,0.983637,1.9845072,0.9856179,-0.23335338,-0.06419041
0020,-0.97866946,0.018806903,1.0163195,-1.9819016,0.015227573,2.012501,-0.98536843,0.011752717,1.0091598,-0.997449,-1.9979044,-0.9986042,-0.0023087484,-0.0029441086,-0.0034858682,0.9931563,1.9921925,0.9916526,-0.21180618,-0.04123742
0030,-0.9733267,0.017763415,1.0090753,-1.9784589,0.011907913,2.0026174,-0.9841313,0.006590073,0.99779,-0.9800661,-1.9834797,-0.9872259,0.012714232,0.008902045,0.0052529336,1.0058297,2.0017648,0.99834144,-0.18833883,-0.0066820625
0040,-0.9703731,0.015002085,1.0007168,-1.976865,0.0074471813,1.9922045,-0.98425066,0.00074666354,0.98635703,-0.9674854,-1.9737216,-0.9803462,0.02319438,0.01633269,0.009704574,1.0141687,2.0071335,1.0009269,-0.16975698,0.022461422
0050,-0.96308684,0.016944654,0.99745077,-1.9703623,0.008249455,1.9874403,-0.9787725,0.00090417557,0.98131275,-0.962659,-1.9714576,-0.9807018,0.025829993,0.016160961,0.006819473,1.0146482,2.0048878,0.9961929,-0.15112568,0.03889209
0060,-0.9579618,0.017028091,0.9926227,-1.9650627,0.008104859,1.9820013,-0.97355705,0.0010359226,0.9765159,-0.97713727,-1.9877869,-0.9989831,0.0075420397,-0.0042711515,-0.01555641,0.99297684,1.9810898,0.9706386,-0.13481966,0.029361779
0070,-0.953749,0.016833723,0.988169,-1.9602883,0.0081676515,1.9774698,-0.9686028,0.0016492108,0.97283375,-0.9838401,-1.9952474,-1.0072503,-0.0046491288,-0.017401567,-0.029459827,0.9758348,1.9629433,0.9518702,-0.12326546,0.011513219
0080,-0.9522418,0.014296799,0.98168546,-1.9583222,0.005780945,1.9708203,-0.96625805,-1.384746e-05,0.9672089,-0.9802576,-1.9916686,-1.0038806,-0.0059727468,-0.018957853,-0.031191876,0.96981233,1.9565718,0.9454497,-0.11351823,0.0024075897
0090,-0.9491258,0.0135063445,0.97713435,-1.9548824,0.0050037378,1.9659325,-0.9626763,-0.0003196739,0.96308875,-0.9744024,-1.9856205,-0.99774307,-0.003908634,-0.016828235,-0.02890944,0.968163,1.9548845,0.94396824,-0.10566898,-0.0012855595
0100,-0.9464346,0.01241795,0.9723414,-1.9518213,0.0039523365,1.9608634,-0.9595189,-0.0008922013,0.9588405,-0.96874195,-1.9798903,-0.99203694,-0.0014950831,-0.014403995,-0.026492517,0.9672827,1.9539098,0.9430345,-0.098452725,-0.0018331734
0110,-0.9445072,0.010795486,0.9672598,-1.9497297,0.0022311334,1.955413,-0.9574148,-0.0022775945,0.9540206,-0.9662255,-1.977544,-0.9899123,-0.0021288344,-0.015224756,-0.027489593,0.96354187,1.9499032,0.9388477,-0.09170644,-0.0037506695
0120,-0.9405607,0.01124155,0.9642571,-1.9454186,0.0026928035,1.9521065,-0.95297676,-0.0013840924,0.95145226,-0.9617989,-1.9731083,-0.9854981,-0.0005369873,-0.013673587,-0.025913527,0.9624724,1.948709,0.9376522,-0.08632706,-0.0040888586
0130,-0.93839985,0.010129532,0.9599572,-1.9429553,0.0016072537,1.9475608,-0.95032954,-0.0020140137,0.94769096,-0.96130913,-1.9725978,-0.98506314,-0.0023064914,-0.015511624,-0.027764237,0.95842844,1.944483,0.93342644,-0.08112986,-0.005984963
